Label,Accuracy,Precision,Recall,F1,PR-AUC
D1 - Healthy vs Seizure (1:1) | Pipeline A,0.5783333333333334,0.6124401913875598,0.4266666666666667,0.5029469548133595,0.6519286037472983
D1 - Healthy vs Seizure (1:1) | Pipeline B,1.0,1.0,1.0,1.0,1.0
D2 - Epileptic non-ictal vs Seizure (2:1) | Pipeline A,0.7077777777777777,0.9302325581395349,0.13333333333333333,0.23323615160349853,0.5303598715804624
D2 - Epileptic non-ictal vs Seizure (2:1) | Pipeline B,0.9511111111111111,0.9507042253521126,0.9,0.9246575342465754,0.9789383405655261
D3 - All classes vs Seizure (4:1) | Pipeline A,0.8133333333333334,0.9545454545454546,0.07,0.13043478260869565,0.4240049085929129
D3 - All classes vs Seizure (4:1) | Pipeline B,0.9646666666666667,0.9490909090909091,0.87,0.9078260869565218,0.9704559306602935
